id,_id,name,code,sat_code,magnitude,value,created_at,updated_at,deleted_at,is_deleted
8c2145c4-61d2-4f72-a580-47dc93c8c955,60b94ee491697c001fe00eef,Envío,Envío,sx,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
6430a77d-e484-49d4-a2c1-d81ae78f97a3,6116a12a240aa5001e9e113f,Kilogramo por kilogramos de producto,kg x kg,3h,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
b4553bdb-12b9-48dd-b530-7343bb4bae96,6116a151240aa5001e9e1145,Mil,Mil,mil,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
bd81f466-779e-45ad-9da8-1aeefc9557c4,611ec5d81cdb11001efcd36e,Veinte Pack,20 Pack,4e,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
3b5fe6d7-691f-4d55-9e15-5ee455d16b48,6125801480df61001dcb05a7,Empaques a granel,Emp,xlt,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
18343a37-c66d-4a08-aa23-b531ae2dfde8,616f22ea694e20001f4a72ba,Medio Litro,MedL,h2,volumen,0.5,18:01:29.472164+00,18:01:29.472164+00,NULL,False
59023286-942a-4725-aef9-655486dde5f0,61d38d2aa2c999001f57849f,Kilogramo por tonelada métrica seca del aire,Kilogramo por tonelada métrica seca del aire,32,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
680ec70c-e906-45fa-aed7-efaa58904861,61e07a5ee75fa7001f6b3dc7,Bolsa de plastico,Bolsa de plastico,x44,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
aab94325-60a6-4320-a202-5f68aeb24690,620302e493010400206303e4,Unidad de conteo que define el número de pares,PAR,pr,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
7b7c948e-62aa-4de5-a045-2605c56e7a1a,62c74794463875001f5a2c06,Kit,Kit,kt,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
f49991d9-5618-4de6-b3b0-be8824837460,632b6f7433d2bf0021569a90,Cabeza,Cabeza,hea,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
53b85d2f-94da-4781-8653-72efa4215ca2,635ab6fc8b488a001e26c6dc,Paquete de 8 piezas,P8,p8,volumen,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
434cc790-aca7-4a70-bfd2-2e4baad99691,636bf5cfb460ae001e58529e,Gramo por 100 gramos,GC,gc,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
38d9d7bd-886d-4258-b55c-8c40dc138068,636c0baeb460ae001e58580b,Unidad,XUN,xun,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
5bba7ed3-6022-474f-96cf-6b0b9ee493e0,63ff7981c2e730001e10270b,Kilogramo por segundo,KGS,kgs,mass,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
fd42fde9-4207-41a9-b4a8-1241b27dbe62,63ff79a9c2e730001e102793,Pastel,KA,ka,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
15cc0c14-5df7-4698-92cd-6b648c67e2d0,63ff7d15c2e730001e103130,Viaje,Viaje,e54,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
0c8288f4-6f74-4c7f-9cee-ddb8cbbfb230,641a0cb71bd513001ededc3c,Cartón, XCT,xct,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
456ebb39-50c7-4eb4-bde2-ff3fd09e42a8,6451b2b7be27fb001e5c44ac,Mil litros,Mil litros,d40,volumen,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
