provider,product,contentUnit,createdAt,updatedAt,isDeleted,deletedAt,brand,contentQuantity,status,description,in_stock,external_id,country_id
5e0e753325f58f21dd52bc3f,5dfa4d4942c14205ef129abc,5df8f4def290f74d58745b54,2020-01-02T22:56:55.603Z,2021-01-13T21:53:57.217Z,false,,,1.89,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129abd,5df8f4def290f74d58745b50,2020-01-02T22:56:55.615Z,2023-08-07T22:22:00.054Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129abe,5df8f4def290f74d58745b50,2020-01-02T22:56:55.629Z,2023-08-29T17:23:28.167Z,false,,,1.77,published,PIEZA DE 30X600 MTS,,,
5dfd6b834af27574322bc21a,5dfbf938cbff9c3eee316287,5df8f4def290f74d58745b4e,2020-01-02T22:56:55.680Z,2023-09-01T23:27:02.360Z,false,,barilla,500,published,CAJA DE 500 GR,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129ac2,5df8f4def290f74d58745b50,2020-01-02T22:56:55.708Z,2023-05-08T23:03:08.026Z,false,,bimbo,1,published,,,,
5e0e753325f58f21dd52bc40,5dfa4d4942c14205ef129ac3,5df8f4def290f74d58745b62,2020-01-02T22:56:55.726Z,2022-01-20T19:25:33.839Z,false,,,500,published,,,,
5e0e753325f58f21dd52bc3f,5dfa4d4942c14205ef129ac6,5df8f4def290f74d58745b50,2020-01-02T22:56:55.764Z,2022-01-20T19:26:16.459Z,false,,,4.82,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129ac7,5df8f4def290f74d58745b50,2020-01-02T22:56:55.785Z,2020-08-08T01:30:57.498Z,false,,,0.22,published,,,,
5dfd6b834af27574322bc21a,5dfa4d5242c14205ef129f68,5df8f4def290f74d58745b50,2020-01-02T22:56:55.797Z,2023-08-23T17:56:46.237Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129ac9,5df8f4def290f74d58745b50,2020-01-02T22:56:55.811Z,2023-07-04T15:50:56.596Z,false,,,0.51,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129acb,5df8f4def290f74d58745b50,2020-01-02T22:56:55.842Z,2023-08-07T22:23:23.409Z,false,,knorr,3.5,published,BOTE DE 3.5 KG,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129acc,5df8f4def290f74d58745b50,2020-01-02T22:56:55.856Z,2022-01-28T20:11:37.646Z,false,,SUAVICREMAS,0.416,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129acd,5df8f4def290f74d58745b50,2020-01-02T22:56:55.872Z,2021-03-26T20:53:51.931Z,false,,SUAVICREMAS,0.416,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129ace,5df8f4def290f74d58745b50,2020-01-02T22:56:55.893Z,2023-05-06T19:55:31.291Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129acf,5df8f4def290f74d58745b50,2020-01-02T22:56:55.907Z,2023-08-04T21:38:41.884Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129acf,5df8f4def290f74d58745b50,2020-01-02T22:56:55.914Z,2022-03-10T17:26:43.439Z,false,,duche,0.25,published,,,,
5e0e753325f58f21dd52bc46,5dfa4d4942c14205ef129ad2,5df8f4def290f74d58745b50,2020-01-02T22:56:55.941Z,2020-11-23T22:10:51.397Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129ad3,5df8f4def290f74d58745b50,2020-01-02T22:56:55.953Z,2023-08-24T22:20:02.730Z,false,,,12,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129ad3,5df8f4def290f74d58745b50,2020-01-02T22:56:55.960Z,2023-08-24T22:18:30.264Z,false,,,22,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129ad4,5df8f4def290f74d58745b4e,2020-01-02T22:56:55.973Z,2023-08-26T03:15:37.762Z,false,,hersheys,589,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129ad5,5df8f4def290f74d58745b50,2020-01-02T22:56:55.995Z,2021-07-06T22:52:29.268Z,false,,hersheys,0.589,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129ad7,5df8f4def290f74d58745b50,2020-01-02T22:56:56.022Z,2020-08-08T01:29:06.507Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129ad8,5df8f4def290f74d58745b50,2020-01-02T22:56:56.040Z,2023-08-29T19:13:59.874Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129ad9,5df8f4def290f74d58745b4e,2020-01-02T22:56:56.054Z,2023-08-29T21:57:37.127Z,false,,,400,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129ada,5df8f4def290f74d58745b4e,2020-01-02T22:56:56.073Z,2023-08-28T19:48:27.256Z,false,,,450,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129adb,5df8f4def290f74d58745b50,2020-01-02T22:56:56.094Z,2023-08-29T21:51:47.386Z,false,,inca,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129adc,5df8f4def290f74d58745b50,2020-01-02T22:56:56.110Z,2020-08-08T01:29:29.609Z,false,,,0.4,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129add,5df8f4def290f74d58745b50,2020-01-02T22:56:56.130Z,2022-03-24T19:48:51.313Z,false,,kirkland,3.874,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129ade,5df8f4def290f74d58745b62,2020-01-02T22:56:56.144Z,2022-01-05T16:36:41.867Z,false,,CORONADO,10,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129adf,5df8f4def290f74d58745b50,2020-01-02T22:56:56.156Z,2023-06-05T18:03:55.152Z,false,,mccormick,3.85,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129ae0,5df8f4def290f74d58745b50,2020-01-02T22:56:56.175Z,2021-08-25T00:43:45.839Z,false,,great value,0.34,published,BOTE DE 340 GR,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129ae1,5df8f4def290f74d58745b50,2020-01-02T22:56:56.188Z,2023-08-23T06:18:38.839Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129ae2,5df8f4def290f74d58745b50,2020-01-02T22:56:56.201Z,2023-08-22T17:23:10.931Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129ae3,5df8f4def290f74d58745b50,2020-01-02T22:56:56.215Z,2023-08-03T22:50:25.403Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129ae5,5df8f4def290f74d58745b50,2020-01-02T22:56:56.258Z,2023-08-23T17:33:10.432Z,false,,,1.45,published,400 MT,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129ae6,5df8f4def290f74d58745b50,2020-01-02T22:56:56.272Z,2023-08-14T21:14:48.816Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129ae8,5df8f4def290f74d58745b50,2020-01-02T22:56:56.305Z,2022-12-01T21:02:44.451Z,false,,la costeña,12,published,CAJA CON 12 KG,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129ae9,5df8f4def290f74d58745b50,2020-01-02T22:56:56.328Z,2021-02-04T00:37:47.261Z,false,,,0.2,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129aeb,5df8f4def290f74d58745b50,2020-01-02T22:56:56.382Z,2022-02-15T23:27:15.484Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129aee,5df8f4def290f74d58745b50,2020-01-02T22:56:56.412Z,2020-08-08T01:29:30.739Z,false,,,0.04,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129af0,5df8f4def290f74d58745b50,2020-01-02T22:56:56.439Z,2023-08-05T00:35:30.738Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129af1,5df8f4def290f74d58745b50,2020-01-02T22:56:56.452Z,2022-02-10T21:34:36.555Z,false,,,0.5,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129af3,5df8f4def290f74d58745b50,2020-01-02T22:56:56.502Z,2023-08-29T17:08:59.924Z,false,,royal,0.454,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129af3,5df8f4def290f74d58745b50,2020-01-02T22:56:56.507Z,2022-12-22T18:14:59.093Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129af4,5df8f4def290f74d58745b50,2020-01-02T22:56:56.522Z,2023-08-29T21:52:12.256Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129af6,5df8f4def290f74d58745b50,2020-01-02T22:56:56.550Z,2020-08-08T01:30:32.751Z,false,,,0.375,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4942c14205ef129af7,5df8f4def290f74d58745b50,2020-01-02T22:56:56.561Z,2023-08-22T22:51:26.196Z,false,,kc masterpiece,1.13,published,,,,
